number_of_reviews,calculated_host_listings_count,availability_365,room_type,price
0.015384615384615385,0.0,0.0,0.0,55
0.0,0.0,0.0,0.0,80
0.0,0.0,0.19452054794520549,0.0,60
0.16923076923076924,0.0,0.6493150684931507,0.5,85
0.06153846153846154,0.0,0.0,0.0,115
0.06153846153846154,0.375,0.10136986301369863,0.0,40
0.046153846153846156,0.0,0.0,0.5,100
0.03076923076923077,0.0,0.0,0.5,149
0.16923076923076924,0.0,0.17534246575342466,0.5,148
0.03076923076923077,0.25,0.0,0.5,264
0.35384615384615387,0.0,0.0547945205479452,0.5,80
0.6000000000000001,0.125,0.021917808219178082,0.0,35
0.015384615384615385,0.0,0.0,0.5,125
0.03076923076923077,0.0,0.0,0.0,55
0.046153846153846156,0.0,0.0,0.0,64
0.0,0.0,0.0,0.0,50
0.03076923076923077,0.125,0.9972602739726028,0.5,150
0.09230769230769231,0.125,0.0,0.0,81
0.5846153846153846,0.0,0.5616438356164384,0.5,200
0.0,0.0,0.0,0.0,40
0.015384615384615385,0.125,0.8,0.5,100
0.3384615384615385,0.0,0.0136986301369863,0.5,135
0.0,0.0,0.4657534246575343,0.0,72
0.13846153846153847,0.0,0.0410958904109589,0.5,110
0.046153846153846156,0.125,0.0,0.5,125
0.0,0.0,0.6164383561643836,0.5,800
0.16923076923076924,0.0,0.0,0.0,100
0.015384615384615385,0.0,0.0,0.0,38
0.1076923076923077,0.125,0.0,0.0,49
0.6000000000000001,0.0,0.0,0.5,185
0.0,0.0,0.0,0.5,150
0.046153846153846156,0.0,0.016438356164383564,0.5,100
0.06153846153846154,0.0,0.0,0.0,85
0.046153846153846156,0.0,0.0,0.5,170
0.046153846153846156,0.0,0.0,0.5,415
0.23076923076923078,0.0,0.4904109589041096,0.0,89
0.7692307692307693,0.25,0.07945205479452055,0.0,135
0.12307692307692308,0.375,0.2410958904109589,1.0,25
0.015384615384615385,0.0,0.1315068493150685,0.0,49
0.046153846153846156,0.0,0.06027397260273973,0.5,450
0.06153846153846154,0.0,0.0,0.5,125
0.015384615384615385,0.0,0.16712328767123288,0.0,100
0.2,0.0,0.7890410958904109,0.5,144
0.015384615384615385,0.0,0.057534246575342465,0.0,42
0.0,0.0,0.0,0.0,59
0.15384615384615385,0.0,0.4904109589041096,0.0,50
0.0,0.125,0.17534246575342466,0.5,205
0.06153846153846154,0.0,0.0,0.5,234
0.13846153846153847,0.0,0.0,0.5,95
0.015384615384615385,0.0,0.0,0.5,1200
0.0,0.0,0.057534246575342465,0.0,75
0.03076923076923077,0.0,0.0,0.0,47
0.26153846153846155,0.0,0.9671232876712329,0.0,80
0.0,0.0,0.0,0.5,125
0.5692307692307692,0.0,1.0,0.0,110
0.13846153846153847,0.0,0.0,0.0,80
0.24615384615384617,0.375,0.008219178082191782,0.0,80
0.9384615384615385,0.0,0.16164383561643836,0.5,169
0.5384615384615385,0.125,0.9205479452054794,0.0,79
0.7538461538461538,0.0,0.40821917808219177,0.0,100
0.06153846153846154,0.0,0.0,0.5,200
0.07692307692307693,0.0,0.052054794520547946,0.5,82
0.015384615384615385,0.0,0.016438356164383564,0.5,200
0.26153846153846155,0.125,0.5863013698630137,0.5,120
0.046153846153846156,0.0,0.9945205479452055,0.0,70
0.03076923076923077,0.0,0.23287671232876714,0.0,79
0.13846153846153847,0.125,0.24383561643835616,1.0,51
0.06153846153846154,0.0,0.0,0.5,156
0.03076923076923077,0.0,0.24383561643835616,0.5,360
0.03076923076923077,0.0,0.5150684931506849,0.5,99
0.16923076923076924,0.0,0.0,0.5,130
0.0,0.0,0.0,0.0,76
0.015384615384615385,0.0,0.0,0.0,99
0.3230769230769231,0.0,0.0410958904109589,0.5,135
0.16923076923076924,0.0,0.2904109589041096,0.0,130
0.5384615384615385,0.0,0.049315068493150684,0.5,180
0.03076923076923077,0.0,0.0,0.5,325
0.5076923076923077,0.0,0.0,0.0,35
0.0,0.0,0.0,0.5,225
0.0,0.0,0.0,0.5,170
0.12307692307692308,0.0,0.36712328767123287,0.5,506
0.06153846153846154,0.125,0.9972602739726028,0.0,100
0.015384615384615385,0.125,0.0,1.0,79
0.7692307692307693,0.125,0.29315068493150687,0.5,140
0.0,0.0,0.0,0.0,90
0.2,0.0,0.9123287671232877,0.0,108
0.0,0.0,0.0,0.5,150
0.0,0.0,0.0,0.0,65
0.7846153846153847,0.625,0.4821917808219178,0.0,50
0.12307692307692308,0.5,0.936986301369863,0.5,325
0.015384615384615385,0.0,0.0,0.5,99
0.16923076923076924,0.75,0.9232876712328767,0.0,30
0.9076923076923078,0.0,0.06575342465753425,0.5,480
0.27692307692307694,0.0,0.0,0.0,150
0.1076923076923077,0.125,0.5150684931506849,0.0,85
0.07692307692307693,0.0,0.0027397260273972603,0.5,94
0.12307692307692308,0.0,0.7643835616438356,0.5,299
0.06153846153846154,0.0,0.0,0.0,54
0.0,0.0,0.9917808219178083,0.0,65
0.2153846153846154,0.125,0.016438356164383564,0.0,85
0.13846153846153847,0.125,0.38904109589041097,0.0,85
0.24615384615384617,0.625,0.08767123287671233,0.0,70
0.03076923076923077,0.0,0.136986301369863,0.0,60
0.0,0.0,0.0,0.5,200
0.03076923076923077,0.0,0.0,0.0,50
0.015384615384615385,0.0,0.0,0.0,100
0.3076923076923077,0.0,0.8849315068493151,0.5,250
0.7538461538461538,0.125,0.5534246575342466,0.5,135
0.0,0.0,0.0,0.5,200
0.03076923076923077,0.0,0.0027397260273972603,0.5,150
0.0,0.0,0.0,0.5,90
0.6000000000000001,0.0,0.0,0.0,125
0.06153846153846154,0.0,0.7506849315068493,0.5,341
0.03076923076923077,0.0,0.0,0.5,140
0.03076923076923077,0.125,0.0,0.5,150
0.4,0.375,0.7671232876712328,0.0,110
0.0,0.375,0.7232876712328767,0.0,58
0.3230769230769231,0.125,0.9945205479452055,0.0,119
0.5538461538461539,0.5,0.410958904109589,0.5,80
0.046153846153846156,0.0,0.0,0.5,200
0.015384615384615385,0.25,0.16164383561643836,0.0,115
0.13846153846153847,0.0,0.9643835616438357,0.0,60
0.2923076923076923,0.0,0.4904109589041096,0.5,180
0.015384615384615385,0.125,0.0027397260273972603,1.0,65
0.0,0.0,0.0,0.0,115
0.09230769230769231,0.0,0.0,0.5,249
